TELEMETRY_ID,TIMESTAMP,NODE_ID,SCENARIO_NAME,VOLTAGE_KV,LOAD_MW,FREQUENCY_HZ,TEMPERATURE_F,STATUS,ALERT_CODE
TEL_000018,2021-02-14 00:00:00,SUB_PAN_18,BASE_CASE,348.02,135.87,59.907,81.8,ACTIVE,
TEL_000019,2021-02-14 00:00:00,SUB_PAN_19,BASE_CASE,346.81,72.75,60.049,84.9,ACTIVE,
TEL_000020,2021-02-14 00:00:00,SUB_PAN_20,BASE_CASE,226.31,162.73,59.989,81.8,ACTIVE,
TEL_000021,2021-02-14 00:00:00,SUB_NOR_21,BASE_CASE,233.71,203.21,59.959,79.9,ACTIVE,
TEL_000022,2021-02-14 00:00:00,SUB_NOR_22,BASE_CASE,68.02,144.61,60.059,74.1,ACTIVE,
TEL_000023,2021-02-14 00:00:00,SUB_NOR_23,BASE_CASE,491.58,99.36,59.948,75.5,ACTIVE,
TEL_000024,2021-02-14 00:00:00,SUB_NOR_24,BASE_CASE,136.03,276.05,59.951,66.3,ACTIVE,
TEL_000025,2021-02-14 00:00:00,SUB_NOR_25,BASE_CASE,506.09,56.55,59.932,76.9,ACTIVE,
TEL_000026,2021-02-14 00:00:00,SUB_NOR_26,BASE_CASE,228.58,163.24,59.985,76.0,ACTIVE,
TEL_000027,2021-02-14 00:00:00,SUB_SOU_27,BASE_CASE,349.77,105.76,59.997,69.6,ACTIVE,
TEL_000028,2021-02-14 00:00:00,SUB_SOU_28,BASE_CASE,345.99,110.94,59.959,84.8,ACTIVE,
TEL_000029,2021-02-14 00:00:00,SUB_SOU_29,BASE_CASE,503.16,281.2,60.037,74.1,ACTIVE,
TEL_000030,2021-02-14 00:00:00,SUB_SOU_30,BASE_CASE,225.85,241.19,60.081,72.4,ACTIVE,
TEL_000031,2021-02-14 00:00:00,SUB_SOU_31,BASE_CASE,232.75,124.15,60.027,68.8,ACTIVE,
TEL_000032,2021-02-14 00:00:00,SUB_SOU_32,BASE_CASE,69.49,214.29,60.068,76.5,ACTIVE,
TEL_000033,2021-02-14 00:00:00,SUB_EAS_33,BASE_CASE,233.71,213.12,59.988,67.7,ACTIVE,
TEL_000034,2021-02-14 00:00:00,SUB_EAS_34,BASE_CASE,504.65,178.92,60.049,67.4,ACTIVE,
TEL_000035,2021-02-14 00:00:00,SUB_EAS_35,BASE_CASE,67.98,94.65,60.006,84.3,ACTIVE,
TEL_000036,2021-02-14 00:00:00,SUB_EAS_36,BASE_CASE,69.91,264.84,59.996,80.6,ACTIVE,
TEL_000037,2021-02-14 00:00:00,SUB_EAS_37,BASE_CASE,232.27,243.51,60.093,62.9,ACTIVE,
TEL_000038,2021-02-14 00:00:00,SUB_EAS_38,BASE_CASE,140.58,91.33,60.096,78.1,ACTIVE,
TEL_000039,2021-02-14 00:00:00,SUB_WES_39,BASE_CASE,506.09,283.98,59.903,79.8,ACTIVE,
TEL_000040,2021-02-14 00:00:00,SUB_WES_40,BASE_CASE,137.75,190.51,60.017,76.8,ACTIVE,
TEL_000041,2021-02-14 00:00:00,SUB_WES_41,BASE_CASE,70.22,235.58,59.905,65.8,ACTIVE,
TEL_000042,2021-02-14 00:00:00,SUB_WES_42,BASE_CASE,345.85,293.57,59.913,65.5,ACTIVE,
TEL_000043,2021-02-14 00:00:00,SUB_WES_43,BASE_CASE,350.65,245.84,59.928,70.2,ACTIVE,
TEL_000044,2021-02-14 00:00:00,SUB_WES_44,BASE_CASE,496.09,286.14,60.077,62.4,ACTIVE,
TEL_000045,2021-02-14 00:00:00,SUB_WES_45,BASE_CASE,499.07,86.78,60.089,78.6,ACTIVE,
TEL_000046,2021-02-14 00:15:00,SUB_PER_01,BASE_CASE,69.67,144.09,59.92,70.4,ACTIVE,
TEL_000047,2021-02-14 00:15:00,SUB_PER_02,BASE_CASE,68.75,187.9,59.974,60.8,ACTIVE,
TEL_000048,2021-02-14 00:15:00,SUB_PER_03,BASE_CASE,509.01,172.28,60.037,62.5,ACTIVE,
TEL_000049,2021-02-14 00:15:00,SUB_PER_04,BASE_CASE,140.64,180.86,59.938,70.0,ACTIVE,
TEL_000050,2021-02-14 00:15:00,SUB_PER_05,BASE_CASE,233.2,79.81,60.028,76.6,ACTIVE,
TEL_000051,2021-02-14 00:15:00,SUB_PER_06,BASE_CASE,225.6,210.72,59.925,66.1,ACTIVE,
TEL_000052,2021-02-14 00:15:00,SUB_PERMIAN_07,BASE_CASE,339.05,201.28,59.943,65.2,ACTIVE,
TEL_000053,2021-02-14 00:15:00,SUB_PER_08,BASE_CASE,228.42,248.57,59.901,82.5,ACTIVE,
TEL_000054,2021-02-14 00:15:00,SUB_GUL_09,BASE_CASE,68.02,245.02,59.935,66.3,ACTIVE,
TEL_000055,2021-02-14 00:15:00,SUB_GUL_10,BASE_CASE,225.64,194.38,59.948,79.7,ACTIVE,
TEL_000056,2021-02-14 00:15:00,SUB_GUL_11,BASE_CASE,68.1,119.22,60.005,78.5,ACTIVE,
TEL_000057,2021-02-14 00:15:00,SUB_GUL_12,BASE_CASE,344.67,249.56,59.922,72.8,ACTIVE,
TEL_000058,2021-02-14 00:15:00,SUB_GUL_13,BASE_CASE,234.1,159.89,60.073,79.6,ACTIVE,
TEL_000059,2021-02-14 00:15:00,SUB_GUL_14,BASE_CASE,344.42,197.1,59.996,61.5,ACTIVE,
TEL_000060,2021-02-14 00:15:00,SUB_PAN_15,BASE_CASE,139.03,150.11,59.915,82.7,ACTIVE,
TEL_000061,2021-02-14 00:15:00,SUB_PAN_16,BASE_CASE,231.0,64.1,60.027,66.9,ACTIVE,
TEL_000062,2021-02-14 00:15:00,SUB_PAN_17,BASE_CASE,342.59,205.6,59.991,73.3,ACTIVE,
TEL_000063,2021-02-14 00:15:00,SUB_PAN_18,BASE_CASE,339.47,209.48,60.03,81.3,ACTIVE,
TEL_000064,2021-02-14 00:15:00,SUB_PAN_19,BASE_CASE,348.05,228.43,59.946,71.3,ACTIVE,
TEL_000065,2021-02-14 00:15:00,SUB_PAN_20,BASE_CASE,229.57,132.47,59.985,62.4,ACTIVE,
TEL_000066,2021-02-14 00:15:00,SUB_NOR_21,BASE_CASE,228.84,201.25,59.913,83.1,ACTIVE,
TEL_000067,2021-02-14 00:15:00,SUB_NOR_22,BASE_CASE,67.88,237.13,60.062,78.5,ACTIVE,
TEL_000068,2021-02-14 00:15:00,SUB_NOR_23,BASE_CASE,501.73,191.42,59.924,68.2,ACTIVE,
TEL_000069,2021-02-14 00:15:00,SUB_NOR_24,BASE_CASE,138.91,145.33,60.044,81.7,ACTIVE,
TEL_000070,2021-02-14 00:15:00,SUB_NOR_25,BASE_CASE,502.01,283.43,59.943,74.4,ACTIVE,
TEL_000071,2021-02-14 00:15:00,SUB_NOR_26,BASE_CASE,227.46,197.4,59.974,81.1,ACTIVE,
TEL_000072,2021-02-14 00:15:00,SUB_SOU_27,BASE_CASE,346.02,255.44,60.095,81.1,ACTIVE,
TEL_000073,2021-02-14 00:15:00,SUB_SOU_28,BASE_CASE,346.57,261.87,60.086,60.7,ACTIVE,
TEL_000074,2021-02-14 00:15:00,SUB_SOU_29,BASE_CASE,495.35,240.92,59.962,77.6,ACTIVE,
TEL_000075,2021-02-14 00:15:00,SUB_SOU_30,BASE_CASE,225.46,144.94,59.98,74.2,ACTIVE,
TEL_000076,2021-02-14 00:15:00,SUB_SOU_31,BASE_CASE,231.23,77.45,59.943,78.7,ACTIVE,
TEL_000077,2021-02-14 00:15:00,SUB_SOU_32,BASE_CASE,68.56,150.93,60.055,78.0,ACTIVE,
TEL_000078,2021-02-14 00:15:00,SUB_EAS_33,BASE_CASE,226.18,174.73,60.024,63.9,ACTIVE,
TEL_000079,2021-02-14 00:15:00,SUB_EAS_34,BASE_CASE,495.44,225.57,59.988,72.1,ACTIVE,
TEL_000080,2021-02-14 00:15:00,SUB_EAS_35,BASE_CASE,69.7,109.16,59.957,70.7,ACTIVE,
TEL_000081,2021-02-14 00:15:00,SUB_EAS_36,BASE_CASE,68.96,226.96,59.979,61.1,ACTIVE,
TEL_000082,2021-02-14 00:15:00,SUB_EAS_37,BASE_CASE,225.47,191.89,59.927,65.3,ACTIVE,
TEL_000083,2021-02-14 00:15:00,SUB_EAS_38,BASE_CASE,137.05,102.67,59.935,78.7,ACTIVE,
TEL_000084,2021-02-14 00:15:00,SUB_WES_39,BASE_CASE,504.07,145.06,60.061,80.8,ACTIVE,
TEL_000085,2021-02-14 00:15:00,SUB_WES_40,BASE_CASE,140.0,61.79,60.084,60.5,ACTIVE,
TEL_000086,2021-02-14 00:15:00,SUB_WES_41,BASE_CASE,69.21,269.43,59.984,77.7,ACTIVE,
TEL_000087,2021-02-14 00:15:00,SUB_WES_42,BASE_CASE,338.39,76.03,60.024,80.0,ACTIVE,
TEL_000088,2021-02-14 00:15:00,SUB_WES_43,BASE_CASE,350.79,236.75,59.949,81.1,ACTIVE,
TEL_000089,2021-02-14 00:15:00,SUB_WES_44,BASE_CASE,500.48,193.11,59.968,67.8,ACTIVE,
TEL_000090,2021-02-14 00:15:00,SUB_WES_45,BASE_CASE,493.36,133.55,60.002,62.9,ACTIVE,
TEL_000091,2021-02-14 00:30:00,SUB_PER_01,BASE_CASE,68.58,289.05,60.063,80.5,ACTIVE,
TEL_000092,2021-02-14 00:30:00,SUB_PER_02,BASE_CASE,68.02,102.46,60.052,75.1,ACTIVE,
TEL_000093,2021-02-14 00:30:00,SUB_PER_03,BASE_CASE,493.54,225.55,60.051,72.4,ACTIVE,
TEL_000094,2021-02-14 00:30:00,SUB_PER_04,BASE_CASE,137.72,260.33,60.027,74.1,ACTIVE,
TEL_000095,2021-02-14 00:30:00,SUB_PER_05,BASE_CASE,233.35,211.38,59.914,63.8,ACTIVE,
TEL_000096,2021-02-14 00:30:00,SUB_PER_06,BASE_CASE,228.19,153.32,60.001,61.4,ACTIVE,
TEL_000097,2021-02-14 00:30:00,SUB_PERMIAN_07,BASE_CASE,344.34,116.29,59.915,80.8,ACTIVE,
TEL_000098,2021-02-14 00:30:00,SUB_PER_08,BASE_CASE,233.27,272.18,59.993,72.7,ACTIVE,
TEL_000099,2021-02-14 00:30:00,SUB_GUL_09,BASE_CASE,69.81,203.51,60.062,71.2,ACTIVE,
TEL_000100,2021-02-14 00:30:00,SUB_GUL_10,BASE_CASE,228.36,211.92,59.912,63.8,ACTIVE,
TEL_000101,2021-02-14 00:30:00,SUB_GUL_11,BASE_CASE,70.1,73.5,60.001,77.9,ACTIVE,
TEL_000102,2021-02-14 00:30:00,SUB_GUL_12,BASE_CASE,341.52,91.98,60.005,71.0,ACTIVE,
TEL_000103,2021-02-14 00:30:00,SUB_GUL_13,BASE_CASE,228.83,85.79,59.968,70.2,ACTIVE,
TEL_000104,2021-02-14 00:30:00,SUB_GUL_14,BASE_CASE,348.99,205.35,59.919,61.6,ACTIVE,
TEL_000105,2021-02-14 00:30:00,SUB_PAN_15,BASE_CASE,136.81,229.42,60.081,76.4,ACTIVE,
TEL_000106,2021-02-14 00:30:00,SUB_PAN_16,BASE_CASE,228.47,272.76,59.97,63.5,ACTIVE,
TEL_000107,2021-02-14 00:30:00,SUB_PAN_17,BASE_CASE,347.74,285.62,60.088,74.9,ACTIVE,
TEL_000108,2021-02-14 00:30:00,SUB_PAN_18,BASE_CASE,343.3,134.83,60.034,80.3,ACTIVE,
TEL_000109,2021-02-14 00:30:00,SUB_PAN_19,BASE_CASE,348.3,266.78,60.029,73.2,ACTIVE,
TEL_000110,2021-02-14 00:30:00,SUB_PAN_20,BASE_CASE,228.73,151.57,59.943,64.5,ACTIVE,
TEL_000111,2021-02-14 00:30:00,SUB_NOR_21,BASE_CASE,229.87,271.23,59.915,63.4,ACTIVE,
TEL_000112,2021-02-14 00:30:00,SUB_NOR_22,BASE_CASE,67.9,275.25,60.077,80.9,ACTIVE,
TEL_000113,2021-02-14 00:30:00,SUB_NOR_23,BASE_CASE,496.74,62.6,59.975,63.3,ACTIVE,
TEL_000114,2021-02-14 00:30:00,SUB_NOR_24,BASE_CASE,139.83,95.47,59.933,80.2,ACTIVE,
TEL_000115,2021-02-14 00:30:00,SUB_NOR_25,BASE_CASE,498.22,165.04,59.989,65.9,ACTIVE,
TEL_000116,2021-02-14 00:30:00,SUB_NOR_26,BASE_CASE,232.29,119.99,59.962,73.4,ACTIVE,
TEL_000117,2021-02-14 00:30:00,SUB_SOU_27,BASE_CASE,344.57,269.06,60.089,69.2,ACTIVE,
TEL_000118,2021-02-14 00:30:00,SUB_SOU_28,BASE_CASE,344.47,283.19,60.005,69.5,ACTIVE,
TEL_000119,2021-02-14 00:30:00,SUB_SOU_29,BASE_CASE,506.34,309.13,59.95,63.5,ACTIVE,
TEL_000120,2021-02-14 00:30:00,SUB_SOU_30,BASE_CASE,233.44,212.59,60.069,62.6,ACTIVE,
TEL_000121,2021-02-14 00:30:00,SUB_SOU_31,BASE_CASE,228.02,276.62,60.081,66.8,ACTIVE,
TEL_000122,2021-02-14 00:30:00,SUB_SOU_32,BASE_CASE,68.83,94.59,59.99,65.6,ACTIVE,
TEL_000123,2021-02-14 00:30:00,SUB_EAS_33,BASE_CASE,225.65,125.12,59.947,72.6,ACTIVE,
TEL_000124,2021-02-14 00:30:00,SUB_EAS_34,BASE_CASE,497.5,270.45,60.068,83.3,ACTIVE,
TEL_000125,2021-02-14 00:30:00,SUB_EAS_35,BASE_CASE,69.8,197.09,60.066,67.2,ACTIVE,
TEL_000126,2021-02-14 00:30:00,SUB_EAS_36,BASE_CASE,68.0,233.23,59.901,71.2,ACTIVE,
TEL_000127,2021-02-14 00:30:00,SUB_EAS_37,BASE_CASE,227.75,74.48,60.045,73.7,ACTIVE,
TEL_000128,2021-02-14 00:30:00,SUB_EAS_38,BASE_CASE,135.85,174.23,59.91,67.5,ACTIVE,
TEL_000129,2021-02-14 00:30:00,SUB_WES_39,BASE_CASE,505.88,153.63,60.081,62.8,ACTIVE,
TEL_000130,2021-02-14 00:30:00,SUB_WES_40,BASE_CASE,135.33,199.8,59.929,66.0,ACTIVE,
TEL_000131,2021-02-14 00:30:00,SUB_WES_41,BASE_CASE,69.32,149.15,60.033,70.4,ACTIVE,
TEL_000132,2021-02-14 00:30:00,SUB_WES_42,BASE_CASE,351.55,65.23,60.001,73.2,ACTIVE,
TEL_000133,2021-02-14 00:30:00,SUB_WES_43,BASE_CASE,345.75,290.57,60.027,71.8,ACTIVE,
TEL_000134,2021-02-14 00:30:00,SUB_WES_44,BASE_CASE,495.07,266.69,59.969,79.7,ACTIVE,
TEL_000135,2021-02-14 00:30:00,SUB_WES_45,BASE_CASE,502.57,245.9,59.967,78.4,ACTIVE,
TEL_000136,2021-02-14 00:45:00,SUB_PER_01,BASE_CASE,69.13,64.91,60.056,64.4,ACTIVE,
TEL_000137,2021-02-14 00:45:00,SUB_PER_02,BASE_CASE,69.54,170.53,59.913,80.3,ACTIVE,
TEL_000138,2021-02-14 00:45:00,SUB_PER_03,BASE_CASE,499.15,233.97,59.94,61.1,ACTIVE,
TEL_000139,2021-02-14 00:45:00,SUB_PER_04,BASE_CASE,140.39,60.66,60.009,84.7,ACTIVE,
TEL_000140,2021-02-14 00:45:00,SUB_PER_05,BASE_CASE,232.33,106.33,60.056,68.9,ACTIVE,
TEL_000141,2021-02-14 00:45:00,SUB_PER_06,BASE_CASE,228.45,246.44,60.078,69.2,ACTIVE,
TEL_000142,2021-02-14 00:45:00,SUB_PERMIAN_07,BASE_CASE,350.45,230.48,59.999,84.3,ACTIVE,
TEL_000143,2021-02-14 00:45:00,SUB_PER_08,BASE_CASE,233.9,175.05,60.045,80.0,ACTIVE,
TEL_000144,2021-02-14 00:45:00,SUB_GUL_09,BASE_CASE,69.28,74.23,59.964,73.6,ACTIVE,
TEL_000145,2021-02-14 00:45:00,SUB_GUL_10,BASE_CASE,231.48,67.31,59.985,75.1,ACTIVE,
TEL_000146,2021-02-14 00:45:00,SUB_GUL_11,BASE_CASE,68.59,202.08,59.971,81.8,ACTIVE,
TEL_000147,2021-02-14 00:45:00,SUB_GUL_12,BASE_CASE,341.89,328.29,59.915,83.7,ACTIVE,
TEL_000148,2021-02-14 00:45:00,SUB_GUL_13,BASE_CASE,228.74,221.99,60.091,77.0,ACTIVE,
TEL_000149,2021-02-14 00:45:00,SUB_GUL_14,BASE_CASE,346.48,90.52,59.913,60.9,ACTIVE,
TEL_000150,2021-02-14 00:45:00,SUB_PAN_15,BASE_CASE,137.26,238.9,60.021,74.2,ACTIVE,
TEL_000151,2021-02-14 00:45:00,SUB_PAN_16,BASE_CASE,234.13,214.14,60.015,79.1,ACTIVE,
TEL_000152,2021-02-14 00:45:00,SUB_PAN_17,BASE_CASE,343.59,187.82,59.923,66.2,ACTIVE,
TEL_000153,2021-02-14 00:45:00,SUB_PAN_18,BASE_CASE,344.99,228.63,59.952,74.0,ACTIVE,
TEL_000154,2021-02-14 00:45:00,SUB_PAN_19,BASE_CASE,344.26,126.5,60.083,67.1,ACTIVE,
TEL_000155,2021-02-14 00:45:00,SUB_PAN_20,BASE_CASE,226.53,184.99,60.08,71.3,ACTIVE,
TEL_000156,2021-02-14 00:45:00,SUB_NOR_21,BASE_CASE,226.21,167.15,59.964,81.1,ACTIVE,
TEL_000157,2021-02-14 00:45:00,SUB_NOR_22,BASE_CASE,67.8,138.01,60.07,82.3,ACTIVE,
TEL_000158,2021-02-14 00:45:00,SUB_NOR_23,BASE_CASE,508.55,234.23,60.002,79.8,ACTIVE,
TEL_000159,2021-02-14 00:45:00,SUB_NOR_24,BASE_CASE,136.35,74.54,59.905,79.8,ACTIVE,
TEL_000160,2021-02-14 00:45:00,SUB_NOR_25,BASE_CASE,497.38,199.95,60.022,73.8,ACTIVE,
TEL_000161,2021-02-14 00:45:00,SUB_NOR_26,BASE_CASE,228.25,78.7,60.005,78.0,ACTIVE,
TEL_000162,2021-02-14 00:45:00,SUB_SOU_27,BASE_CASE,349.46,221.64,60.028,84.3,ACTIVE,
TEL_000163,2021-02-14 00:45:00,SUB_SOU_28,BASE_CASE,347.49,157.44,60.056,81.9,ACTIVE,
TEL_000164,2021-02-14 00:45:00,SUB_SOU_29,BASE_CASE,493.64,229.53,60.082,70.8,ACTIVE,
TEL_000165,2021-02-14 00:45:00,SUB_SOU_30,BASE_CASE,226.54,59.42,59.965,64.1,ACTIVE,
TEL_000166,2021-02-14 00:45:00,SUB_SOU_31,BASE_CASE,228.58,247.38,60.069,82.4,ACTIVE,
TEL_000167,2021-02-14 00:45:00,SUB_SOU_32,BASE_CASE,69.37,113.8,59.961,63.1,ACTIVE,
TEL_000168,2021-02-14 00:45:00,SUB_EAS_33,BASE_CASE,230.02,171.22,59.931,83.5,ACTIVE,
TEL_000169,2021-02-14 00:45:00,SUB_EAS_34,BASE_CASE,504.41,219.2,60.013,81.1,ACTIVE,
TEL_000170,2021-02-14 00:45:00,SUB_EAS_35,BASE_CASE,67.7,233.01,60.015,76.0,ACTIVE,
TEL_000171,2021-02-14 00:45:00,SUB_EAS_36,BASE_CASE,69.74,209.23,60.0,76.0,ACTIVE,
TEL_000172,2021-02-14 00:45:00,SUB_EAS_37,BASE_CASE,228.06,225.68,60.061,72.1,ACTIVE,
TEL_000173,2021-02-14 00:45:00,SUB_EAS_38,BASE_CASE,136.88,202.35,59.988,61.5,ACTIVE,
TEL_000174,2021-02-14 00:45:00,SUB_WES_39,BASE_CASE,494.08,174.71,60.044,67.8,ACTIVE,
TEL_000175,2021-02-14 00:45:00,SUB_WES_40,BASE_CASE,139.99,255.75,59.974,63.3,ACTIVE,
TEL_000176,2021-02-14 00:45:00,SUB_WES_41,BASE_CASE,68.5,189.14,59.95,66.7,ACTIVE,
TEL_000177,2021-02-14 00:45:00,SUB_WES_42,BASE_CASE,342.1,72.48,59.95,75.4,ACTIVE,
TEL_000178,2021-02-14 00:45:00,SUB_WES_43,BASE_CASE,340.3,257.14,59.963,74.4,ACTIVE,
TEL_000179,2021-02-14 00:45:00,SUB_WES_44,BASE_CASE,499.97,241.49,59.962,72.5,ACTIVE,
TEL_000180,2021-02-14 00:45:00,SUB_WES_45,BASE_CASE,508.9,55.85,59.943,84.2,ACTIVE,
TEL_000181,2021-02-14 01:00:00,SUB_PER_01,BASE_CASE,67.76,138.08,60.031,82.1,ACTIVE,
TEL_000182,2021-02-14 01:00:00,SUB_PER_02,BASE_CASE,69.1,179.29,60.076,70.8,ACTIVE,
TEL_000183,2021-02-14 01:00:00,SUB_PER_03,BASE_CASE,505.28,225.66,60.014,70.0,ACTIVE,
TEL_000184,2021-02-14 01:00:00,SUB_PER_04,BASE_CASE,138.29,90.25,60.053,72.6,ACTIVE,
TEL_000185,2021-02-14 01:00:00,SUB_PER_05,BASE_CASE,234.5,124.26,60.095,63.0,ACTIVE,
TEL_000186,2021-02-14 01:00:00,SUB_PER_06,BASE_CASE,232.71,143.7,60.051,83.5,ACTIVE,
TEL_000187,2021-02-14 01:00:00,SUB_PERMIAN_07,BASE_CASE,345.13,99.77,59.927,61.1,ACTIVE,
TEL_000188,2021-02-14 01:00:00,SUB_PER_08,BASE_CASE,229.76,132.11,60.003,75.2,ACTIVE,
TEL_000189,2021-02-14 01:00:00,SUB_GUL_09,BASE_CASE,69.31,123.08,60.048,84.8,ACTIVE,
TEL_000190,2021-02-14 01:00:00,SUB_GUL_10,BASE_CASE,228.49,133.0,60.042,73.3,ACTIVE,
TEL_000191,2021-02-14 01:00:00,SUB_GUL_11,BASE_CASE,69.87,121.66,60.096,76.8,ACTIVE,
TEL_000192,2021-02-14 01:00:00,SUB_GUL_12,BASE_CASE,349.1,204.75,59.905,77.2,ACTIVE,
TEL_000193,2021-02-14 01:00:00,SUB_GUL_13,BASE_CASE,234.3,178.19,60.016,79.4,ACTIVE,
TEL_000194,2021-02-14 01:00:00,SUB_GUL_14,BASE_CASE,346.15,215.17,60.024,75.7,ACTIVE,
TEL_000195,2021-02-14 01:00:00,SUB_PAN_15,BASE_CASE,136.06,269.7,60.09,60.8,ACTIVE,
TEL_000196,2021-02-14 01:00:00,SUB_PAN_16,BASE_CASE,225.57,74.59,60.038,63.8,ACTIVE,
TEL_000197,2021-02-14 01:00:00,SUB_PAN_17,BASE_CASE,348.79,165.43,60.047,81.8,ACTIVE,
TEL_000198,2021-02-14 01:00:00,SUB_PAN_18,BASE_CASE,340.01,61.73,60.032,68.1,ACTIVE,
TEL_000199,2021-02-14 01:00:00,SUB_PAN_19,BASE_CASE,342.43,169.51,59.968,82.8,ACTIVE,
TEL_000200,2021-02-14 01:00:00,SUB_PAN_20,BASE_CASE,232.5,144.69,60.039,76.1,ACTIVE,
TEL_000201,2021-02-14 01:00:00,SUB_NOR_21,BASE_CASE,227.17,192.25,59.945,74.0,ACTIVE,
TEL_000202,2021-02-14 01:00:00,SUB_NOR_22,BASE_CASE,68.44,280.85,60.041,65.2,ACTIVE,
TEL_000203,2021-02-14 01:00:00,SUB_NOR_23,BASE_CASE,496.98,140.47,59.955,79.9,ACTIVE,
TEL_000204,2021-02-14 01:00:00,SUB_NOR_24,BASE_CASE,138.97,78.53,60.064,84.5,ACTIVE,
TEL_000205,2021-02-14 01:00:00,SUB_NOR_25,BASE_CASE,506.09,276.55,60.043,67.2,ACTIVE,
TEL_000206,2021-02-14 01:00:00,SUB_NOR_26,BASE_CASE,229.47,129.94,59.94,72.0,ACTIVE,
TEL_000207,2021-02-14 01:00:00,SUB_SOU_27,BASE_CASE,350.98,191.89,60.023,63.4,ACTIVE,
TEL_000208,2021-02-14 01:00:00,SUB_SOU_28,BASE_CASE,341.45,203.39,60.028,73.3,ACTIVE,
TEL_000209,2021-02-14 01:00:00,SUB_SOU_29,BASE_CASE,498.27,65.87,60.054,62.5,ACTIVE,
TEL_000210,2021-02-14 01:00:00,SUB_SOU_30,BASE_CASE,230.46,55.7,60.087,70.2,ACTIVE,
TEL_000211,2021-02-14 01:00:00,SUB_SOU_31,BASE_CASE,229.79,253.39,59.964,84.1,ACTIVE,
TEL_000212,2021-02-14 01:00:00,SUB_SOU_32,BASE_CASE,70.13,194.11,60.007,74.4,ACTIVE,
TEL_000213,2021-02-14 01:00:00,SUB_EAS_33,BASE_CASE,234.02,249.85,60.076,64.4,ACTIVE,
TEL_000214,2021-02-14 01:00:00,SUB_EAS_34,BASE_CASE,508.39,103.29,59.999,69.9,ACTIVE,
TEL_000215,2021-02-14 01:00:00,SUB_EAS_35,BASE_CASE,70.28,308.36,59.902,81.9,ACTIVE,
TEL_000216,2021-02-14 01:00:00,SUB_EAS_36,BASE_CASE,67.92,210.54,60.098,67.1,ACTIVE,
TEL_000217,2021-02-14 01:00:00,SUB_EAS_37,BASE_CASE,229.94,202.12,59.994,81.3,ACTIVE,
TEL_000218,2021-02-14 01:00:00,SUB_EAS_38,BASE_CASE,135.86,91.57,59.951,71.5,ACTIVE,
TEL_000219,2021-02-14 01:00:00,SUB_WES_39,BASE_CASE,504.73,102.16,60.051,74.2,ACTIVE,
TEL_000220,2021-02-14 01:00:00,SUB_WES_40,BASE_CASE,139.97,101.33,60.003,80.7,ACTIVE,
TEL_000221,2021-02-14 01:00:00,SUB_WES_41,BASE_CASE,69.47,67.17,59.965,63.5,ACTIVE,
TEL_000222,2021-02-14 01:00:00,SUB_WES_42,BASE_CASE,341.7,106.09,60.091,78.8,ACTIVE,
TEL_000223,2021-02-14 01:00:00,SUB_WES_43,BASE_CASE,348.08,113.22,60.039,76.3,ACTIVE,
