EDGE_ID,SRC_NODE,DST_NODE,EDGE_TYPE,CAPACITY_MW,LENGTH_MILES,VOLTAGE_KV,REDUNDANCY_LEVEL,COMMENT
LINE_062,SUB_SOU_27,SUB_SOU_28,DISTRIBUTION,239,50.9,138,2,Line from South Central Transmission Hub #1 to South Central Generator #2
LINE_063,SUB_SOU_28,SUB_SOU_32,TRANSMISSION,706,34.0,230,1,Line from South Central Generator #2 to South Central Load Center #6
LINE_064,SUB_SOU_29,SUB_SOU_28,TIE_LINE,434,56.1,230,2,Line from South Central Substation #3 to South Central Generator #2
LINE_065,SUB_SOU_29,SUB_SOU_32,TIE_LINE,724,35.7,345,1,Line from South Central Substation #3 to South Central Load Center #6
LINE_066,SUB_SOU_29,SUB_SOU_27,TIE_LINE,1443,5.9,138,1,Line from South Central Substation #3 to South Central Transmission Hub #1
LINE_067,SUB_SOU_29,SUB_SOU_31,DISTRIBUTION,421,51.0,138,2,Line from South Central Substation #3 to South Central Load Center #5
LINE_068,SUB_SOU_30,SUB_SOU_31,TRANSMISSION,1412,20.9,230,1,Line from South Central Substation #4 to South Central Load Center #5
LINE_069,SUB_SOU_30,SUB_SOU_32,TIE_LINE,817,10.0,138,3,Line from South Central Substation #4 to South Central Load Center #6
LINE_070,SUB_SOU_30,SUB_SOU_29,TRANSMISSION,911,45.0,500,3,Line from South Central Substation #4 to South Central Substation #3
LINE_071,SUB_SOU_31,SUB_SOU_32,DISTRIBUTION,1203,26.4,138,2,Line from South Central Load Center #5 to South Central Load Center #6
LINE_072,SUB_EAS_33,SUB_EAS_38,TIE_LINE,1302,64.7,500,2,Line from East Texas Transmission Hub #1 to East Texas Load Center #6
LINE_073,SUB_EAS_33,SUB_EAS_36,DISTRIBUTION,1413,38.8,345,2,Line from East Texas Transmission Hub #1 to East Texas Substation #4
LINE_074,SUB_EAS_34,SUB_EAS_33,DISTRIBUTION,699,36.4,500,3,Line from East Texas Generator #2 to East Texas Transmission Hub #1
LINE_075,SUB_EAS_34,SUB_EAS_36,TIE_LINE,976,17.5,345,1,Line from East Texas Generator #2 to East Texas Substation #4
LINE_076,SUB_EAS_35,SUB_EAS_36,TRANSMISSION,926,32.4,345,2,Line from East Texas Substation #3 to East Texas Substation #4
LINE_077,SUB_EAS_35,SUB_EAS_34,DISTRIBUTION,1420,17.0,345,3,Line from East Texas Substation #3 to East Texas Generator #2
LINE_078,SUB_EAS_35,SUB_EAS_37,TRANSMISSION,1258,15.7,230,1,Line from East Texas Substation #3 to East Texas Load Center #5
LINE_079,SUB_EAS_36,SUB_EAS_37,TIE_LINE,692,20.1,500,3,Line from East Texas Substation #4 to East Texas Load Center #5
LINE_080,SUB_EAS_36,SUB_EAS_38,TIE_LINE,1205,30.5,500,1,Line from East Texas Substation #4 to East Texas Load Center #6
LINE_081,SUB_EAS_37,SUB_EAS_34,DISTRIBUTION,698,13.7,345,3,Line from East Texas Load Center #5 to East Texas Generator #2
LINE_082,SUB_EAS_38,SUB_EAS_35,DISTRIBUTION,1327,43.8,345,2,Line from East Texas Load Center #6 to East Texas Substation #3
LINE_083,SUB_EAS_38,SUB_EAS_37,TIE_LINE,1129,42.1,345,2,Line from East Texas Load Center #6 to East Texas Load Center #5
LINE_084,SUB_EAS_38,SUB_EAS_34,DISTRIBUTION,672,29.1,138,3,Line from East Texas Load Center #6 to East Texas Generator #2
LINE_085,SUB_WES_39,SUB_WES_42,TIE_LINE,1297,9.9,230,1,Line from West Texas Transmission Hub #1 to West Texas Substation #4
LINE_086,SUB_WES_39,SUB_WES_40,TRANSMISSION,1191,14.7,345,3,Line from West Texas Transmission Hub #1 to West Texas Generator #2
LINE_087,SUB_WES_40,SUB_WES_44,TRANSMISSION,806,54.8,230,2,Line from West Texas Generator #2 to West Texas Load Center #6
LINE_088,SUB_WES_40,SUB_WES_45,TRANSMISSION,819,80.9,138,3,Line from West Texas Generator #2 to West Texas Load Center #7
LINE_089,SUB_WES_40,SUB_WES_42,TIE_LINE,459,22.7,345,1,Line from West Texas Generator #2 to West Texas Substation #4
LINE_090,SUB_WES_41,SUB_WES_44,TIE_LINE,458,23.5,500,1,Line from West Texas Substation #3 to West Texas Load Center #6
LINE_091,SUB_WES_41,SUB_WES_42,TRANSMISSION,1375,34.8,345,2,Line from West Texas Substation #3 to West Texas Substation #4
LINE_092,SUB_WES_42,SUB_WES_43,TRANSMISSION,717,3.6,500,1,Line from West Texas Substation #4 to West Texas Load Center #5
LINE_093,SUB_WES_43,SUB_WES_45,TRANSMISSION,1381,66.0,138,1,Line from West Texas Load Center #5 to West Texas Load Center #7
LINE_094,SUB_WES_44,SUB_WES_43,TRANSMISSION,708,53.5,138,3,Line from West Texas Load Center #6 to West Texas Load Center #5
LINE_095,SUB_WES_45,SUB_WES_44,TIE_LINE,979,40.1,500,2,Line from West Texas Load Center #7 to West Texas Load Center #6
LINE_096,SUB_PERMIAN_07,SUB_GUL_11,TIE_LINE,1664,521.4,345,1,Inter-region tie line
LINE_097,SUB_PER_04,SUB_EAS_35,TIE_LINE,1852,558.6,345,1,Inter-region tie line
LINE_098,SUB_PER_03,SUB_WES_43,TIE_LINE,653,89.2,345,1,Inter-region tie line
LINE_099,SUB_GUL_12,SUB_PAN_20,TIE_LINE,1716,596.1,500,1,Inter-region tie line
LINE_100,SUB_GUL_10,SUB_NOR_23,TIE_LINE,1947,271.1,500,1,Inter-region tie line
LINE_101,SUB_GUL_14,SUB_EAS_34,TIE_LINE,1041,130.5,345,1,Inter-region tie line
LINE_102,SUB_GUL_13,SUB_WES_40,TIE_LINE,1826,597.5,345,1,Inter-region tie line
LINE_103,SUB_PAN_16,SUB_EAS_35,TIE_LINE,1718,559.4,500,1,Inter-region tie line
LINE_104,SUB_PAN_18,SUB_WES_44,TIE_LINE,1122,340.1,500,1,Inter-region tie line
LINE_105,SUB_NOR_24,SUB_EAS_36,TIE_LINE,664,204.9,345,1,Inter-region tie line
LINE_106,SUB_EAS_34,SUB_WES_44,TIE_LINE,1678,679.9,345,1,Inter-region tie line
